grouping_title,bib_uri,NDLBibID,title_full,title_main,title_transcription,title_alternative,creators_name,creators_transcription,publisher_name,publisher_transcription,publisher_location,date,issued,ndc_raw,subjects_free,language,extent,material_type,access_rights,rights,audience,see_also,iiif_manifest,thumbnail,approx_count
[中島広足歌集],https://ndlsearch.ndl.go.jp/books/R100000002-I000003284961#material,000003284961; 000003284961,[中島広足歌集],[中島広足歌集],ナカジマ ヒロタリ カシュウ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,[江戸後期],1800,911.15; 911.158,歌集,jpn,1冊 ; 13×22cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284961; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284961,,,1
[元旦七言絶句],https://ndlsearch.ndl.go.jp/books/R100000002-I000003279738#material,000003279738; 000003279738,[元旦七言絶句] : 天保12～弘化3年,[元旦七言絶句] : 天保12～弘化3年,ガンタン シチゴン ゼック,,"林, 述斎, 1768-1841; 林, 檉宇, 1791-1844; 林, 復斎, 1800-1859","ハヤシ, ジュッサイ, 1768-1841; ハヤシ, テイウ, 1791-1844; ハヤシ, フクサイ, 1800-1859",,,,[江戸末期],1800,919,漢詩,jpn,1冊 ; 16×26cm,和古書,,,,http://id.ndl.go.jp/bib/000003279738; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279738,,,1
[契沖追悼詩歌集],https://ndlsearch.ndl.go.jp/books/R100000002-I000003283061#material,000003283061; 000003283061,[契沖追悼詩歌集],[契沖追悼詩歌集],ケイチュウ ツイトウ シイカシュウ,,,,中島広足 写,,,文政1(1818),1818,911.15,契沖 (1640～1701) ケイチュウ (1640～1701); 歌集,jpn,1冊 ; 26cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003283061; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283061,,,1
[柳亭種彦自筆書簡],https://ndlsearch.ndl.go.jp/books/R100000002-I000003285005#material,000003285005; 000003285005,[柳亭種彦自筆書簡],[柳亭種彦自筆書簡],リュウテイ タネヒコ ジヒツ ショカン,,"柳亭, 種彦 1世, 1783-1842","リュウテイ, タネヒコ 1セイ, 1783-1842",写,,,[江戸後期],1800,913.57,"柳亭, 種彦 (1世 1783～1842) リュウテイ, タネヒコ (1世 1783～1842); 書簡",jpn,1軸 ; 21.5cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003285005; https://ndlsearch.ndl.go.jp/books/R100000002-I000003285005,,,1
[楽書神事あんど],https://ndlsearch.ndl.go.jp/books/R100000002-I000003285021#material,000003285021; 000003285021,[楽書神事あんど],[楽書神事あんど],ラクガキ シンジ アンド,諸人一休楽書神事あんど,,,,,,弘化3(1846)序,1846,911.19,狂歌,jpn,1冊 ; 17cm,和古書,,,,http://id.ndl.go.jp/bib/000003285021; https://ndlsearch.ndl.go.jp/books/R100000002-I000003285021,,,1
[漢詩文集抄],https://ndlsearch.ndl.go.jp/books/R100000002-I000003279744#material,000003279744; 000003279744,[漢詩文集抄],[漢詩文集抄],カンシブンシュウ ショウ,,,,写,,,[江戸末期],1800,919,漢詩文,jpn,1冊 ; 25cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003279744; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279744,,,1
[画本柳樽],https://ndlsearch.ndl.go.jp/books/R100000002-I000003280361#material,000003280361; 000003280361,[画本柳樽]. [2編],[画本柳樽],エホン ヤナギダル,家内喜多留,"岳亭, 丘山, 江戸後期","ガクテイ, キュウザン, エド コウキ",塩屋弥七 [ほか],,[大阪],天保13(1842),1842,911.4,川柳,jpn,1冊 ; 18cm,和古書,,,,http://id.ndl.go.jp/bib/000003280361; https://ndlsearch.ndl.go.jp/books/R100000002-I000003280361,,,1
[荷田在満家歌合],https://ndlsearch.ndl.go.jp/books/R100000002-I000003279634#material,000003279634; 000003279634,[荷田在満家歌合]; 十二番歌合 賀茂真淵判. 附録 宝暦六年二月県居翁家歌会兼題当坐歌,[荷田在満家歌合],カダ アリマロケ ウタアワセ,十二番歌合,"賀茂, 真淵, 1697-1769","カモ, マブチ, 1697-1769",,,,[文化7(1810)],1810,911.15,歌集,jpn,1冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003279634; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279634,,,2
[落噺臍能七艸],https://ndlsearch.ndl.go.jp/books/R100000002-I000003279683#material; https://ndlsearch.ndl.go.jp/books/R100000039-I14207837#material; https://ndlsearch.ndl.go.jp/books/R100000039-I14207838#material; https://ndlsearch.ndl.go.jp/books/R100000039-I14207839#material,000003279683; 000003279683,[落噺臍能七艸] : 3巻; [落噺臍能七艸] : 3巻 [1]; [落噺臍能七艸] : 3巻 [2]; [落噺臍能七艸] : 3巻 [3],[落噺臍能七艸] : 3巻,オトシバナシ ヘソ ノ ナナクサ,,,,藤屋九兵衛 [ほか],,浪花,嘉永7(1854),1854,913.59,咄本,jpn,3冊 ; 23cm,和古書,インターネット公開,pdm; PDM,,http://id.ndl.go.jp/bib/000003279683; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279683; http://id.ndl.go.jp/digimeta/14207837; https://doi.org/10.11501/14207837; https://dl.ndl.go.jp/pid/14207837; https://dl.ndl.go.jp/api/iiif/14207837/manifest.json; http://id.ndl.go.jp/digimeta/14207838; https://doi.org/10.11501/14207838; https://dl.ndl.go.jp/pid/14207838; https://dl.ndl.go.jp/api/iiif/14207838/manifest.json; http://id.ndl.go.jp/digimeta/14207839; https://doi.org/10.11501/14207839; https://dl.ndl.go.jp/pid/14207839; https://dl.ndl.go.jp/api/iiif/14207839/manifest.json,https://dl.ndl.go.jp/api/iiif/14207837/manifest.json; https://dl.ndl.go.jp/api/iiif/14207838/manifest.json; https://dl.ndl.go.jp/api/iiif/14207839/manifest.json,https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/14207837; https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/14207838; https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/14207839,4
〓肩亙嚢,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB103415693#material,,〓肩亙嚢,〓肩亙嚢,テイケンガノウ,,静軒居士∥[著],セイケンコジ,,,,安政4序,,91,,jpn,23cm; 8丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B103415693,,,1
〓花猫眼鬘,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279687#material,000003279687; 000003279687,〓花猫眼鬘 : 7編28巻,〓花猫眼鬘 : 7編28巻,コガネ ノ ハナ ネコ ノ メ カズラ,猫,"仮名垣, 魯文, 1829-1894; 歌川, 芳虎, 江戸末期-明治時代; 落合, 芳幾, 1833-1904; 月岡, 芳年, 1839-1892","カナガキ, ロブン, 1829-1894; ウタガワ, ヨシトラ, エド マッキ-メイジ ジダイ; オチアイ, ホウキ, 1833-1904; ツキオカ, ヨシトシ, 1839-1892",松林堂藤岡屋慶次郎,,江戸,文久3～慶応4(1863～1868),1868,913.57,合巻,jpn,14冊 (合7冊) ; 18cm,和古書,,,,http://id.ndl.go.jp/bib/000003279687; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279687,,,1
〔景山公題臨江楼尊韻〕,https://ndlsearch.ndl.go.jp/books/R000000034-I000000352#material,,〔景山公題臨江楼尊韻〕,〔景山公題臨江楼尊韻〕,ケイザン　コウ　ダイ　リンコウロウ　ソンイン,,烈公 || 徳川斉昭,レッコウ || トクガワ，ナリアキ,,,,1842年,1842,919.5,徳川　斉昭,,,和古書,インターネット公開,,一般,https://www.lib.pref.ibaraki.jp/guide/shiryou/digital_lib/valuable_m/001051192373/Bibliography.html,,,1
あしむろ集,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389695#material,,あしむろ集,あしむろ集,アシムロシュウ,,井眉∥著,セイビ,井眉,セイビ,,1809(文化6),1809-01-01,911.3,,jpn,23cm; 24丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389695,,,1
